gene,DEMO_CELL_001,DEMO_CELL_002,DEMO_CELL_003,DEMO_CELL_004,DEMO_CELL_005,DEMO_CELL_006,DEMO_CELL_007,DEMO_CELL_008,DEMO_CELL_009,DEMO_CELL_010,DEMO_CELL_011,DEMO_CELL_012,DEMO_CELL_013,DEMO_CELL_014,DEMO_CELL_015,DEMO_CELL_016,DEMO_CELL_017,DEMO_CELL_018,DEMO_CELL_019,DEMO_CELL_020,DEMO_CELL_021,DEMO_CELL_022,DEMO_CELL_023,DEMO_CELL_024,DEMO_CELL_025,DEMO_CELL_026,DEMO_CELL_027,DEMO_CELL_028,DEMO_CELL_029,DEMO_CELL_030,DEMO_CELL_031,DEMO_CELL_032,DEMO_CELL_033,DEMO_CELL_034,DEMO_CELL_035,DEMO_CELL_036,DEMO_CELL_037,DEMO_CELL_038,DEMO_CELL_039,DEMO_CELL_040,DEMO_CELL_041,DEMO_CELL_042,DEMO_CELL_043,DEMO_CELL_044,DEMO_CELL_045,DEMO_CELL_046,DEMO_CELL_047,DEMO_CELL_048,DEMO_CELL_049,DEMO_CELL_050,DEMO_CELL_051,DEMO_CELL_052,DEMO_CELL_053,DEMO_CELL_054,DEMO_CELL_055,DEMO_CELL_056,DEMO_CELL_057,DEMO_CELL_058,DEMO_CELL_059,DEMO_CELL_060,DEMO_CELL_061,DEMO_CELL_062,DEMO_CELL_063,DEMO_CELL_064,DEMO_CELL_065,DEMO_CELL_066,DEMO_CELL_067,DEMO_CELL_068,DEMO_CELL_069,DEMO_CELL_070,DEMO_CELL_071,DEMO_CELL_072,DEMO_CELL_073,DEMO_CELL_074,DEMO_CELL_075,DEMO_CELL_076,DEMO_CELL_077,DEMO_CELL_078,DEMO_CELL_079,DEMO_CELL_080,DEMO_CELL_081,DEMO_CELL_082,DEMO_CELL_083,DEMO_CELL_084,DEMO_CELL_085,DEMO_CELL_086,DEMO_CELL_087,DEMO_CELL_088,DEMO_CELL_089,DEMO_CELL_090,DEMO_CELL_091,DEMO_CELL_092,DEMO_CELL_093,DEMO_CELL_094,DEMO_CELL_095,DEMO_CELL_096,DEMO_CELL_097,DEMO_CELL_098,DEMO_CELL_099,DEMO_CELL_100,DEMO_CELL_101,DEMO_CELL_102,DEMO_CELL_103,DEMO_CELL_104,DEMO_CELL_105,DEMO_CELL_106,DEMO_CELL_107,DEMO_CELL_108,DEMO_CELL_109,DEMO_CELL_110,DEMO_CELL_111,DEMO_CELL_112,DEMO_CELL_113,DEMO_CELL_114,DEMO_CELL_115,DEMO_CELL_116,DEMO_CELL_117,DEMO_CELL_118,DEMO_CELL_119,DEMO_CELL_120
SIMGENE0046,9,0,9,3,11,5,4,4,5,14,3,6,1,1,24,6,3,9,0,3,11,1,9,31,12,11,12,22,10,7,3,11,3,27,8,10,12,15,4,13,18,1,3,2,19,3,3,3,2,3,1,3,6,7,3,7,3,7,4,1,7,12,20,7,15,4,1,9,15,7,9,16,5,9,7,13,27,19,6,10,8,8,11,9,17,16,24,3,4,11,9,5,9,5,4,8,5,4,3,12,9,18,23,23,6,4,7,31,3,17,9,18,27,5,6,5,5,2,5,16
SIMGENE0047,10,15,2,9,4,6,9,5,15,2,5,5,4,13,12,10,16,27,8,5,1,1,6,2,2,7,5,8,5,5,1,1,1,2,6,4,3,7,2,2,26,2,6,5,6,11,12,3,8,8,2,2,4,14,9,2,2,2,2,5,19,9,4,13,3,6,13,11,5,4,8,5,5,8,7,13,9,6,3,6,9,4,15,7,5,4,3,1,9,2,4,6,12,5,2,5,1,7,23,9,8,7,13,12,6,4,3,5,4,8,3,11,23,7,7,13,2,5,7,5
SIMGENE0048,5,3,2,13,4,8,7,2,10,3,10,8,0,5,2,11,15,4,4,5,3,4,7,2,11,18,2,19,16,8,5,9,9,1,13,2,7,4,3,5,8,13,24,6,8,12,3,8,4,4,12,6,8,2,3,7,13,2,8,9,4,3,9,2,4,11,2,2,5,3,5,11,12,2,2,5,5,13,4,3,3,1,6,11,1,6,2,1,4,7,1,5,7,8,1,3,5,14,10,8,6,3,5,2,29,3,5,4,21,3,9,3,7,11,3,8,11,6,5,14
SIMGENE0049,9,9,16,3,9,2,10,2,12,8,6,11,1,4,12,8,4,18,2,7,3,8,1,7,8,6,1,1,6,4,6,2,2,5,6,24,19,13,9,7,1,8,14,1,10,5,11,7,12,2,5,15,0,4,9,3,13,1,7,2,4,1,6,2,4,14,1,9,9,2,4,9,2,4,3,5,2,7,3,6,7,12,2,9,2,2,2,3,5,1,2,6,5,9,3,0,4,7,13,15,4,6,10,5,2,3,1,8,1,7,3,1,2,5,11,7,7,4,4,6
SIMGENE0050,4,8,8,4,5,33,11,4,11,11,5,14,13,2,4,5,1,14,3,4,3,9,12,12,14,9,6,1,6,5,9,10,19,33,1,8,2,6,11,1,12,5,5,8,3,15,4,9,29,10,6,17,3,6,6,13,6,24,11,1,9,14,6,5,11,1,20,7,20,17,3,3,6,13,11,22,9,6,15,1,6,7,32,11,31,2,8,12,6,13,6,6,12,4,26,6,8,6,10,23,14,13,12,8,4,9,50,2,14,7,13,32,31,21,19,20,19,1,6,35
SIMGENE0051,6,4,7,10,3,6,2,6,11,13,4,13,17,3,12,10,9,3,8,2,3,1,0,2,7,11,3,6,3,5,5,4,3,12,8,1,5,4,5,2,3,1,6,7,2,4,16,3,1,11,6,4,6,5,2,6,14,12,3,9,4,2,6,7,10,7,4,1,2,1,2,1,10,7,1,5,1,3,3,2,17,3,2,5,5,5,3,4,3,2,2,2,4,1,3,7,9,6,2,2,7,4,6,6,3,1,4,3,4,14,3,4,9,7,1,5,3,5,2,2
SIMGENE0052,2,4,5,5,9,1,2,2,4,1,6,5,6,4,4,4,5,1,4,2,5,8,4,4,3,2,7,3,4,3,3,9,4,1,4,5,10,4,1,5,2,2,4,4,8,6,1,2,2,11,4,1,3,9,3,6,6,8,13,3,5,5,2,2,1,8,6,1,1,1,2,5,10,1,11,6,2,7,6,6,1,4,3,1,2,1,3,16,1,9,1,1,3,2,5,2,2,2,6,3,1,2,5,12,5,10,5,2,0,4,1,5,5,3,2,9,5,2,5,4
SIMGENE0053,16,3,22,3,11,7,1,2,0,9,2,9,1,11,5,10,13,3,3,5,7,6,3,2,4,7,5,5,5,3,4,6,8,3,14,4,6,6,3,17,1,15,3,13,7,3,19,19,8,33,7,5,2,6,6,13,4,11,4,1,1,10,4,5,10,3,3,18,3,9,3,1,3,2,1,3,1,2,5,5,11,3,1,3,2,8,8,2,7,2,9,7,7,4,5,7,2,1,3,3,3,4,7,9,8,14,3,37,4,1,24,5,9,4,1,8,5,10,8,5
SIMGENE0054,2,1,1,1,1,1,1,1,0,1,2,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,3,2,1,0,0,3,1,2,1,1,1,1,1,2,3,1,1,2,1,2,1,3,1,1,2,1,1,1,1,2,3,2,3,4,3,1,1,4,0,2,1,1,7,6,4,1,0,3,1,3,3,2,5,5,0,1,3,2,3,2,1,1,1,1,0,4,3,4,1,2,0,1,1,2,2,1,2,1,0,2,0,2,1,1,1,3,0,3,1,1,1,1,2
SIMGENE0055,1,2,1,4,6,5,3,1,4,3,1,2,2,2,4,1,8,1,1,2,1,3,4,2,2,2,1,10,4,2,5,2,4,1,3,6,3,5,5,3,1,1,3,4,3,2,2,4,4,2,1,1,2,6,3,1,2,2,1,2,3,2,5,4,1,2,3,3,1,2,2,1,1,5,2,2,4,3,6,2,4,5,4,1,4,5,2,3,6,2,7,1,3,2,1,3,2,5,1,2,4,3,2,2,7,2,1,4,5,3,2,4,2,3,4,1,0,4,1,6
SIMGENE0056,1,12,14,2,6,2,5,9,7,6,1,3,1,2,2,3,10,8,2,3,2,3,1,6,4,6,9,4,19,2,6,2,8,1,7,6,5,3,2,7,2,3,4,12,8,2,3,7,1,7,8,8,3,2,1,5,6,1,11,9,4,7,4,12,11,3,2,6,5,9,2,5,1,6,6,6,6,6,1,2,3,17,2,3,3,16,10,9,6,11,23,4,5,17,0,11,3,5,3,3,6,5,5,1,2,9,1,2,5,5,12,8,6,4,1,11,2,9,2,3
SIMGENE0057,11,8,3,28,17,4,9,23,3,2,19,8,2,14,7,21,40,19,19,3,11,12,14,26,19,21,3,7,1,3,9,4,8,7,7,7,17,17,5,18,11,1,3,8,9,4,13,5,15,9,14,7,4,4,4,8,3,31,10,21,5,6,13,10,7,1,8,8,3,13,9,3,7,4,11,8,6,4,3,2,14,3,13,13,6,5,8,3,8,9,9,2,12,6,9,8,8,5,8,11,22,9,17,10,9,10,7,3,7,7,9,7,10,14,16,2,3,5,7,6
SIMGENE0058,1,18,2,3,3,15,3,14,7,1,9,3,11,17,12,24,1,29,9,8,6,8,11,6,6,2,2,12,4,8,3,8,6,2,2,18,2,2,3,14,1,4,13,9,5,3,9,6,12,2,3,12,0,6,18,21,8,7,1,6,15,4,3,5,20,3,9,5,5,7,3,7,15,5,3,14,6,15,4,7,5,15,6,7,10,10,4,5,9,11,22,10,9,8,12,10,9,15,6,6,1,10,5,5,6,10,3,3,7,3,5,3,16,13,7,9,6,4,18,2
SIMGENE0059,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,2,0,0,0,2,1,1,2,3,1,0,1,1,4,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,2,1,1,1,1,1,1,1,1,1,0,2,0,1,1,2,1,0,1,0,2,1,3,2,0,1,1,2,1,0,1,1,1,0,4,0,0,1,1,2,2,2,1,1,1,1,1,1,1
SIMGENE0060,14,40,19,9,4,10,5,6,4,7,2,8,20,13,12,10,8,5,18,12,3,10,2,11,6,5,2,3,17,4,4,7,19,7,1,4,6,3,26,2,14,8,17,6,3,10,6,6,18,15,30,5,18,8,5,21,3,7,5,4,5,6,7,0,11,8,4,1,5,4,4,1,12,2,6,13,1,13,12,3,20,12,10,4,5,4,10,6,9,7,5,31,6,5,19,6,3,5,4,1,10,26,23,7,7,13,12,24,7,2,25,10,3,7,19,26,5,14,4,16
SIMGENE0061,1,8,4,5,10,7,2,3,1,1,4,2,7,5,3,4,5,2,5,4,11,1,12,3,6,1,9,7,1,11,6,3,19,11,6,19,6,13,11,10,7,2,11,3,3,3,13,2,1,7,21,3,5,7,3,4,7,2,5,5,4,14,4,3,5,4,2,7,8,2,3,7,6,22,2,8,15,2,13,4,6,3,7,7,7,6,9,18,28,3,8,1,6,4,8,1,3,9,2,3,7,2,3,2,2,2,9,7,7,14,9,10,12,11,1,3,11,3,3,9
SIMGENE0062,2,1,3,2,2,2,4,5,7,3,2,9,10,7,1,10,9,4,7,2,3,7,4,1,2,2,3,3,4,2,5,2,2,1,2,1,2,4,5,1,3,7,2,4,1,4,0,1,2,6,6,3,3,2,1,1,1,3,4,1,0,4,5,3,6,3,1,1,2,3,1,1,1,6,3,0,1,2,3,4,3,3,3,1,1,0,1,1,2,1,1,3,1,3,2,7,1,0,4,2,1,2,2,5,2,3,4,3,14,3,1,7,4,8,1,3,9,2,2,4
SIMGENE0063,3,0,2,1,2,0,3,0,1,1,1,3,3,2,1,3,0,4,1,2,1,0,3,3,2,2,5,1,0,0,2,1,2,2,1,2,1,4,4,4,2,2,2,0,1,2,1,3,4,0,1,1,10,3,1,4,2,2,1,1,0,2,3,2,5,2,4,1,0,2,1,2,0,3,1,4,1,1,0,2,5,1,1,7,0,1,4,7,4,4,3,1,3,2,1,2,6,6,1,3,1,2,1,7,2,3,4,4,5,3,1,2,1,1,0,5,2,3,3,10
SIMGENE0064,8,11,18,3,10,17,7,12,1,8,5,2,2,2,14,6,4,11,9,19,19,6,5,5,45,13,18,3,10,3,9,1,15,3,10,3,9,20,5,1,7,5,10,22,17,2,2,5,19,15,5,7,2,10,2,12,4,8,3,12,26,9,12,7,22,3,14,1,6,10,12,2,2,23,5,2,8,5,12,6,3,8,4,16,20,17,25,5,36,15,2,13,6,9,11,4,8,11,26,18,18,10,16,9,10,5,11,17,4,25,14,1,7,20,21,9,10,8,16,4
SIMGENE0065,11,34,23,12,3,8,7,22,7,5,11,6,8,12,9,10,15,18,2,6,5,1,10,10,8,12,13,10,3,9,19,4,6,10,3,15,6,5,6,10,11,3,13,13,14,7,1,1,2,13,18,9,6,12,7,10,13,11,12,23,9,9,9,41,10,4,10,12,1,12,3,2,7,11,1,1,3,5,9,11,11,7,11,14,4,7,10,4,4,5,11,5,4,8,8,3,4,4,10,8,19,40,9,2,13,17,3,11,7,6,10,12,2,5,16,16,13,11,37,38
SIMGENE0066,9,2,5,18,21,6,14,8,8,7,6,17,20,13,10,5,18,7,10,1,8,6,6,12,6,7,14,8,3,2,4,5,4,5,7,8,11,2,6,10,16,12,9,2,5,2,5,0,1,9,1,5,2,6,23,9,10,10,6,9,6,5,8,10,4,2,10,2,8,12,9,1,6,8,12,13,13,6,3,1,23,6,5,5,4,3,4,9,3,6,4,9,10,2,8,5,17,6,2,1,4,2,8,4,14,2,8,3,2,8,10,4,6,5,10,3,1,6,8,6
SIMGENE0067,1,2,3,9,9,4,6,8,10,2,3,1,4,1,2,3,3,4,7,3,8,4,3,16,8,1,2,1,3,3,2,8,3,5,7,4,3,2,7,4,2,3,14,18,5,4,5,4,6,8,1,10,8,9,7,3,1,3,1,2,9,7,13,5,2,1,5,10,8,7,4,2,2,8,21,7,5,6,9,3,1,5,4,2,4,15,5,1,5,5,6,3,2,9,6,6,2,8,3,6,9,1,4,3,4,1,3,7,3,2,6,12,2,4,1,4,11,3,13,2
SIMGENE0068,3,6,5,3,8,3,5,3,2,12,2,8,3,0,1,0,0,5,3,2,3,2,7,4,8,4,6,5,3,8,3,4,3,2,5,1,1,2,4,1,6,11,1,7,14,3,3,1,7,4,6,7,4,2,4,9,2,6,6,20,1,3,10,2,1,8,2,6,9,3,8,10,4,6,2,4,0,3,5,10,2,4,4,13,3,9,7,5,5,8,3,4,4,2,1,2,4,1,4,8,6,11,10,6,3,3,10,2,3,1,2,6,4,1,3,7,6,4,2,5
SIMGENE0069,12,12,11,7,21,9,4,8,15,9,23,11,7,8,3,8,22,15,3,11,13,14,14,7,4,13,16,46,12,3,5,18,10,6,16,7,18,21,3,8,9,4,11,2,1,10,4,10,2,5,5,12,13,10,11,5,2,13,5,10,14,12,21,12,4,20,19,7,23,3,0,15,7,12,23,8,5,7,4,8,6,15,4,8,8,14,16,22,6,11,17,10,13,19,11,12,6,13,8,2,9,12,21,4,17,12,4,6,16,1,38,7,1,5,3,11,2,6,33,12
SIMGENE0070,9,4,30,7,22,19,35,29,2,23,3,14,1,23,10,2,14,17,10,21,16,6,8,16,15,6,24,45,4,12,10,21,12,5,6,9,5,7,3,6,7,28,9,13,21,16,16,5,5,7,33,2,13,6,6,6,11,9,41,16,14,1,11,4,5,6,22,14,9,10,17,5,10,6,6,3,8,3,10,2,31,26,58,13,10,14,18,8,6,2,8,11,5,9,7,13,9,17,18,7,21,19,31,5,19,8,12,12,4,4,7,16,3,3,8,7,5,45,8,12
SIMGENE0071,7,2,4,10,7,3,2,4,5,14,10,1,1,9,13,3,1,4,4,3,6,6,8,6,7,10,3,2,1,2,6,3,3,7,5,6,1,3,4,4,8,13,4,5,13,16,11,16,4,9,16,9,23,5,14,8,1,21,14,7,6,21,5,9,2,5,9,7,8,5,3,7,7,3,27,9,18,15,5,3,3,8,5,16,6,9,4,22,7,5,4,4,1,11,6,1,4,5,9,8,2,5,11,12,2,2,4,10,3,3,5,9,1,1,10,7,3,2,3,8
SIMGENE0072,4,9,4,8,11,8,13,12,7,3,9,7,7,20,13,6,8,6,2,9,5,6,9,6,24,18,3,3,12,5,2,17,2,9,7,2,17,5,13,4,7,6,1,23,5,17,6,6,10,7,7,9,9,19,31,16,5,24,15,5,8,25,6,8,9,57,20,10,7,15,7,13,3,16,11,5,19,9,12,2,11,14,13,7,3,11,26,4,8,18,11,23,19,19,28,24,10,16,6,12,6,27,9,7,15,5,1,3,19,6,24,8,11,20,10,8,5,3,9,15
SIMGENE0073,8,1,24,8,11,7,8,7,4,10,24,2,15,7,15,9,9,6,5,15,4,7,4,3,9,8,11,10,3,5,3,6,3,2,22,5,7,7,2,7,7,10,19,8,33,6,38,25,17,17,2,3,2,16,7,12,7,19,7,0,23,8,10,10,4,9,6,6,11,2,5,11,4,13,8,24,5,9,6,15,4,3,19,12,10,7,21,4,3,5,2,15,11,16,7,1,11,12,9,5,8,11,1,7,8,10,14,3,9,5,9,6,6,13,16,10,9,10,1,5
SIMGENE0074,17,15,1,4,10,9,5,3,6,11,4,3,20,4,3,5,9,11,4,2,6,2,2,2,7,2,10,3,3,4,5,6,2,12,9,3,2,3,13,10,9,15,3,7,3,13,2,3,2,1,10,2,2,10,3,6,16,1,1,1,23,4,0,21,7,22,14,2,21,5,10,8,12,7,11,10,7,6,3,7,6,2,14,8,11,10,2,4,8,14,14,2,4,2,21,0,17,9,4,1,15,2,8,13,8,4,5,7,3,1,16,9,18,3,1,10,6,4,5,11
SIMGENE0075,3,1,2,2,2,5,1,2,3,2,8,1,2,3,1,2,1,0,3,1,3,1,1,2,0,2,4,3,0,1,2,0,1,1,1,2,1,5,1,1,1,4,1,2,1,2,2,2,1,1,0,1,2,1,6,2,3,1,2,1,8,3,8,1,3,4,7,4,5,1,2,5,2,2,1,4,3,5,7,1,4,1,3,2,1,1,1,2,1,3,3,2,2,1,1,0,1,2,2,2,1,1,1,2,4,1,2,1,1,1,4,2,2,0,3,5,1,1,1,0
SIMGENE0076,3,1,5,4,1,5,1,2,1,0,2,1,1,1,1,3,1,1,0,2,1,1,3,2,2,2,5,0,4,1,2,3,1,1,1,7,3,1,4,3,1,1,1,1,4,4,2,3,1,1,1,1,1,2,3,1,3,1,1,2,2,0,0,3,1,3,0,3,3,2,3,1,3,2,2,6,1,1,1,8,5,2,1,1,1,1,2,1,2,1,1,1,1,3,1,1,1,2,3,0,6,2,2,3,4,1,1,2,1,3,1,1,6,4,4,1,3,2,1,2
SIMGENE0077,7,11,9,5,2,3,0,4,0,7,5,2,3,3,11,3,1,19,2,4,2,5,4,6,11,4,3,10,3,4,2,7,7,1,2,1,7,5,1,1,2,0,1,4,3,4,4,4,4,3,1,4,8,2,1,3,5,8,4,13,2,5,2,2,3,4,2,3,11,1,2,4,1,5,3,3,3,1,0,4,3,7,7,3,3,1,1,2,3,6,1,2,5,1,1,4,4,0,4,4,2,1,2,4,2,2,1,4,6,7,1,0,1,2,1,9,1,3,3,7
SIMGENE0078,7,9,8,1,3,9,16,5,6,2,5,14,4,10,5,6,9,2,6,21,4,9,13,3,6,1,5,12,6,9,1,3,11,6,8,21,4,2,3,4,5,1,26,4,10,3,3,3,8,6,11,6,5,7,23,7,3,10,13,10,2,6,7,6,3,17,9,9,5,6,12,2,5,5,8,14,6,12,6,25,4,6,5,11,6,11,6,17,15,9,24,11,5,7,9,11,3,12,12,7,0,2,8,8,1,3,2,11,7,1,7,13,4,6,2,1,1,4,10,2
SIMGENE0079,4,2,5,3,10,4,5,21,14,1,6,9,5,9,3,7,5,7,9,9,8,7,45,38,6,24,14,23,12,12,3,7,10,25,4,4,12,7,25,8,4,9,5,9,15,15,4,16,4,3,17,15,7,19,10,7,3,19,5,5,6,1,6,6,8,11,12,7,8,4,11,10,1,10,2,11,9,16,3,11,6,5,2,5,8,16,10,5,5,2,13,11,2,1,3,5,12,2,6,22,5,7,11,4,14,16,14,18,28,8,8,15,8,1,3,5,14,12,10,3
SIMGENE0080,3,3,0,4,0,2,2,4,2,2,1,1,1,2,2,0,3,3,3,1,2,1,5,1,3,4,11,5,2,3,1,1,2,2,1,3,3,0,4,1,5,4,5,6,2,10,1,6,6,5,2,2,1,10,5,8,8,5,1,10,3,5,1,2,1,6,5,1,1,5,4,3,2,3,4,2,2,2,1,5,3,1,1,2,5,2,5,1,1,3,5,3,2,4,3,3,2,1,0,2,3,8,11,1,2,4,5,2,1,4,2,3,4,2,3,5,5,8,7,12
SIMGENE0081,3,10,3,1,3,9,4,8,5,13,1,4,7,8,14,7,2,1,10,5,8,10,8,15,9,13,20,2,6,8,24,16,8,8,3,10,5,23,16,14,20,19,25,29,21,18,7,28,4,9,7,4,7,3,2,10,7,8,13,18,13,13,26,3,4,11,17,17,34,7,6,8,16,5,17,11,14,9,2,5,12,8,1,19,6,2,2,1,8,6,10,5,8,9,6,4,5,10,7,3,4,13,12,14,11,9,3,8,8,11,23,15,15,3,14,7,2,12,8,3
SIMGENE0082,1,5,12,6,8,5,7,5,7,19,10,3,6,4,3,3,6,1,4,1,6,2,1,4,3,4,6,2,1,1,10,2,1,11,1,7,3,10,3,8,3,11,5,10,4,9,39,6,4,4,6,16,4,9,12,21,4,7,4,8,6,5,4,4,14,9,6,17,5,1,5,1,3,2,4,5,11,2,14,8,10,2,6,6,2,5,5,5,4,1,3,6,10,15,5,0,7,3,3,3,4,5,11,11,5,0,4,11,8,6,7,3,3,22,7,10,5,9,8,3
SIMGENE0083,5,1,3,6,7,2,9,2,1,12,2,11,8,2,4,3,2,3,5,4,7,5,7,4,5,2,1,8,8,6,5,6,3,5,8,4,10,6,2,12,4,11,2,6,5,4,2,2,3,4,4,3,14,7,3,9,6,9,4,3,7,3,1,1,4,9,3,3,1,5,3,3,7,4,10,5,13,2,2,12,12,9,18,17,13,7,1,8,30,14,2,4,1,10,5,14,1,3,4,7,8,2,4,6,1,2,3,4,8,6,4,7,2,5,3,7,5,2,6,10
SIMGENE0084,1,1,1,4,1,5,3,4,0,3,2,1,1,5,2,1,4,6,11,3,6,4,3,8,6,2,3,10,8,4,18,6,4,3,4,5,3,4,7,9,4,5,6,3,8,2,3,3,7,6,7,16,4,2,1,5,0,5,9,11,3,1,2,6,5,4,10,4,4,2,10,4,5,4,1,1,1,5,5,15,2,3,0,3,4,1,8,1,2,12,9,3,3,1,9,5,3,2,10,7,4,5,14,4,1,4,4,2,6,2,1,2,3,3,5,1,5,3,6,2
SIMGENE0085,7,11,11,14,7,9,10,20,1,6,8,9,25,17,17,14,3,2,22,8,1,6,5,23,20,2,7,5,2,2,8,10,11,3,10,12,2,2,13,9,2,5,5,2,2,7,1,6,1,12,7,7,12,2,1,5,7,6,9,1,26,5,8,8,3,13,14,5,2,12,5,14,17,3,10,7,16,8,13,3,8,11,20,5,1,7,14,2,3,11,7,19,3,0,7,3,13,3,4,8,8,9,2,3,5,2,9,1,1,0,6,2,3,4,3,2,8,4,3,2
SIMGENE0086,26,18,16,23,17,30,6,6,3,4,10,5,28,14,8,7,13,8,3,20,12,28,12,33,24,13,20,11,10,37,41,3,44,11,13,22,5,10,14,11,14,6,3,5,8,21,18,4,1,2,11,8,3,29,5,10,10,12,5,4,6,9,8,10,4,6,6,13,12,20,12,4,3,3,15,12,6,16,7,4,2,29,22,13,14,16,11,30,9,1,1,4,4,19,16,4,14,11,7,4,11,3,6,18,10,8,10,15,40,20,21,15,7,15,9,25,7,5,5,1
SIMGENE0087,3,0,3,11,15,1,0,3,1,4,17,5,1,3,3,9,2,1,4,5,8,1,6,6,7,4,2,13,3,4,4,9,6,6,6,1,2,13,6,10,1,0,5,4,11,8,5,4,3,1,5,3,4,7,0,2,5,5,8,8,5,10,6,4,8,1,4,10,3,6,4,9,20,5,12,8,4,1,1,7,6,3,1,16,2,2,6,3,3,6,8,8,4,11,5,20,6,0,13,3,8,10,2,3,3,2,5,1,3,15,0,5,1,14,3,5,5,2,7,3
SIMGENE0088,7,0,5,6,3,4,5,1,0,9,12,8,3,11,3,5,7,15,5,6,3,3,6,5,6,7,2,6,4,6,22,8,4,4,10,10,3,8,9,24,15,6,4,12,17,4,6,6,3,12,12,6,5,17,7,13,14,5,10,11,4,5,2,5,9,5,5,18,1,1,1,2,5,4,8,12,2,8,11,5,13,6,24,4,5,12,2,7,6,7,3,1,6,5,7,2,5,3,6,4,5,4,4,14,6,4,5,5,16,20,7,4,8,7,1,5,16,11,6,9
SIMGENE0089,14,2,15,8,4,12,4,6,1,9,15,2,11,9,6,4,12,10,3,2,15,20,7,4,11,13,3,21,12,7,47,23,1,3,9,13,12,40,15,12,10,10,6,3,3,4,7,19,6,3,7,7,7,12,14,7,2,8,6,5,1,5,11,3,7,12,2,5,9,4,4,20,1,6,7,3,6,8,24,6,11,5,19,2,3,12,5,8,17,3,9,32,12,6,7,8,15,2,7,10,5,9,5,5,1,9,6,1,12,15,20,10,6,12,4,13,1,4,1,8
SIMGENE0090,22,18,6,4,2,8,22,17,1,11,6,19,19,18,12,10,44,17,5,28,3,11,7,5,5,10,3,12,37,4,8,17,6,8,18,10,5,5,14,9,5,9,11,23,4,2,10,8,5,4,4,21,3,28,13,5,15,5,4,3,42,8,6,16,8,12,10,1,12,8,8,4,6,20,9,4,2,4,4,11,25,8,5,5,5,15,12,8,20,13,23,17,8,7,44,16,12,13,3,4,8,11,2,17,8,2,5,26,11,12,15,32,4,26,11,23,5,11,21,13
SIMGENE0091,21,7,8,9,4,4,7,2,3,4,7,3,4,0,6,4,2,2,4,10,6,12,16,10,4,3,7,4,2,8,7,3,3,5,2,13,6,3,5,15,12,1,7,7,3,1,9,0,3,12,3,10,6,9,5,6,12,4,4,14,18,2,7,6,3,6,10,3,14,12,24,7,5,10,6,4,21,11,2,2,4,1,3,8,2,5,1,8,7,7,4,4,9,6,9,1,6,6,5,2,8,3,13,22,7,3,7,9,12,3,6,10,3,6,4,3,11,2,7,6
SIMGENE0092,15,4,2,1,1,6,4,2,4,7,4,12,5,2,2,5,4,4,10,5,5,2,2,5,14,2,4,4,4,0,3,4,5,5,8,3,1,13,7,9,7,10,3,1,5,2,3,11,1,7,3,13,8,14,12,3,4,8,6,2,5,19,6,3,13,14,3,4,5,8,7,10,8,0,1,8,3,7,14,8,2,2,9,1,13,2,2,4,7,2,2,2,2,4,10,1,1,5,11,4,4,11,17,15,3,4,10,6,3,12,12,10,8,5,7,4,9,11,7,11
SIMGENE0093,1,4,2,2,1,2,4,1,2,4,4,5,3,3,2,1,3,2,2,3,5,0,4,1,2,1,2,1,2,2,1,1,1,1,3,6,1,2,0,3,1,9,2,2,5,12,1,2,5,15,4,2,2,2,2,2,4,0,2,7,9,10,5,18,10,2,1,2,2,4,3,4,4,1,5,2,2,14,2,4,3,3,1,0,4,5,6,3,4,3,4,8,4,9,2,4,5,8,4,0,2,6,6,7,13,3,13,1,8,1,1,3,1,4,3,2,2,6,1,2
SIMGENE0094,3,2,2,3,3,6,4,3,4,3,1,1,2,1,1,0,3,1,2,0,3,1,2,3,4,1,1,1,2,1,6,0,2,1,2,3,1,3,0,0,1,1,2,1,1,1,0,0,1,1,1,0,1,1,1,4,2,1,1,1,3,0,6,2,3,2,8,0,2,3,1,6,2,12,2,5,5,1,2,3,4,3,3,3,2,1,3,3,2,3,2,2,1,1,2,3,1,0,1,2,1,1,0,2,0,1,1,2,0,1,2,1,1,0,1,1,1,1,0,1
SIMGENE0095,7,3,23,3,5,1,1,4,7,2,6,2,1,3,1,1,0,9,3,6,6,5,2,9,7,4,15,8,4,8,5,3,5,5,9,7,1,4,7,5,1,6,7,3,10,22,17,8,9,19,2,16,2,5,6,10,15,3,1,5,10,8,11,25,40,3,9,8,7,6,5,4,5,2,8,12,1,2,1,26,2,4,12,20,2,5,5,2,4,9,4,3,6,12,9,3,8,2,3,1,8,2,1,6,2,10,1,3,3,1,4,16,5,15,14,11,9,24,3,7
